"word","definition","example_sentence","difficulty_level","difficulty_name","etymology","language_origin","pronunciation","pronunciation_ipa","pronunciation_tips","common_misspellings","audio_url","source_name","source_url","source_difficulty","source_year","definition_source","etymology_source","pronunciation_source","example_source"
"acrimony","A sharp and bitter hatred.","The word ___ is important to understand.","1","Beginner","
From , from .
","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/acrimony-us.mp3","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"acrogeria","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"acronym","An abbreviation formed by the initial letters of other words, sometimes exclusively such abbreviations when pronounced as a word (as ""laser"") rather than as individual letters (initialisms such as ""TNT"").","The word ___ is important to understand.","2","Elementary",", from  and , equivalent to .<ref name=oed/> Modelled after  and , first attested in German in the early 1900s<ref>Gerhard Stilz, ''Studien zur englischen Philologie, Nummer 21'', Niemeyer., 1905</ref> and in English in 1940.<ref name=oed>[http://www.oed.com/view/Entry/1844 ""acronym, ''n.''""], in the ''Oxford English Dictionary'', Oxford: Oxford University Press.</ref>
","","","/ˈæk.ɹə.nɪm/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acropachy","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"across","(crosswords, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue.","The word ___ is important to understand.","2","Elementary","From , from early , , from  + . More at . .","Early","","/əˈkɹɑs/","Remember the double S","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acrostic","A poem or other text in which certain letters, often the first in each line, spell out a name or message.","The word ___ is important to understand.","4","Advanced","
Borrowed from ,  (modern ), and its  , from , from  +  (ultimately from ).<ref>'' and ''n|id=1867|date=December 2011|nodot=yes}}; </ref>","","","/əˈkɹɑstɪk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acrylics","An acrylic resin.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/əˈkɹɪlɪks/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Claude","Dictionary API","Claude"
"act","Something done, a deed.","The word ___ is important to understand.","1","Beginner",", from .","","","/æk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"activists","One who is politically active in the role of a citizen; especially, one who campaigns for change.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Claude","","Claude"
"activities","The state or quality of being active; activeness.","The word ___ is important to understand.","3","Intermediate","Etymology uncertain","","","/ækˈtɪ.vɪ.tiz/","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Claude","Dictionary API","Claude"
"activity","The state or quality of being active; activeness.","The word ___ is important to understand.","3","Intermediate","From , from . Equivalent to .","","","/ækˈtɪ.və.ti/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"actually","(modal) In act or in fact; really; in truth; positively.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","/-ɪ/","Remember the double L","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"acuity","Sharpness or acuteness, as of a needle, wit, etc.","The word ___ is important to understand.","2","Elementary","From , , from , from , irreg., from .
","","","/əˈkjuːɪti/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acumen","Quickness of perception or discernment; penetration of mind; the faculty of nice discrimination.","The word ___ is important to understand.","2","Elementary","
Borrowed from .","","","/əˈkjuːmən/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acupuncture","The insertion of needles into the (living) tissue of the body, especially for purposes of pain relief.","The word ___ is important to understand.","4","Advanced"," .<ref></ref> .","","","/ˈæ.kju.ˌpʌŋk.t͡ʃɝ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acutely","In an acute manner","The word ___ is important to understand.","2","Elementary","From .","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/acutely-us.mp3","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","","Claude"
"adage","An old saying which has obtained credit by long use","The word ___ is important to understand.","1","Beginner","
Borrowed from , from .","","","/ˈæ.dɪdʒ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"adaptable","Capable of adapting or of being adapted.","The word ___ is important to understand.","3","Intermediate","From .","","","/əˈdæptəbəl/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"adapted","To make suitable; to make to correspond; to fit or suit","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/əˈdæptɪd/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Claude","Dictionary API","Claude"
"added","To join or unite (e.g. one thing to another, or as several particulars) so as to increase the number, augment the quantity or enlarge the magnitude, or so as to form into one aggregate.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","[ˈad.əd]","Remember the double D","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"addendum","Something to be added; especially text added as an appendix or supplement to a document.","The word ___ is important to understand.","4","Advanced","
From the gerundive of .","The","","/əˈdɛndəm/","Remember the double D","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"adding","To join or unite (e.g. one thing to another, or as several particulars) so as to increase the number, augment the quantity or enlarge the magnitude, or so as to form into one aggregate.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ˈæ.dɪŋ/","Remember the double D","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"addition","The act of adding anything.","The word ___ is important to understand.","4","Advanced","
Sense of “what is added” dates from 14th century, from , , from , from , accusative singular of , from .","14th","","/æˈdɪʃən/","Remember the double D; Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"addle","(provincial) To earn, earn by labor; earn money or one's living.","The word ___ is important to understand.","1","Beginner","From , potentially from ; Cognates include ,  and descendants of . Likely also related to  and its cognates.","","","/ˈæ.dəl/","Remember the double D","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"addledifficulty","","","5","Expert","Etymology uncertain","","","","Remember the double D, F","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"adduced","To bring forward or offer, as an argument, passage, or consideration which bears on a statement or case; to cite; to allege.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","Remember the double D","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","","Claude"
"adelaide","","","3","Intermediate","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Claude","",""
"adhesion","The ability of a substance to stick to an unlike substance.","The word ___ is important to understand.","4","Advanced","From , from  stem of , from past participle of .","Past","","","Ends with '-SION' (sounds like 'zhun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"adiabatic","(of a process) That occurs without gain or loss of heat (and thus with no change in entropy, in the quasistatic approximation).","The word ___ is important to understand.","3","Intermediate","19th-century coinage (introduced by W. J. M. Rankine in the 1860s) based on , used of terrain (rivers, forests) by Xenophon, from  +  + , from .","","","/ˌeɪdaɪəˈbætɪk/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"adieu","A farewell, a goodbye; especially a fond farewell, or a lasting or permanent farewell.","The word ___ is important to understand.","1","Beginner","From  also , , , from , a shortening of , from . .","","","/əˈdjuː/","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"adipose","Animal fat stored in the tissue of the body.","The word ___ is important to understand.","2","Elementary","From , from , from . ;  is probably related to  since  in Umbrian regularly represents an earlier *''d''.","","","/ˈæd.ɪ.pəʊs/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"adirondack","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"adjective","(grammar) A word that modifies a noun or describes a noun’s referent.","The ___ was clearly visible from here.","4","Advanced","From , , from , from , from  + , from  + . The Latin word  in turn was a calque of , a derivative of the compound verb , from which also comes .","Which","","/ˈæ.d͡ʒə(k).tɪv/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"adjectives","(grammar) A word that modifies a noun or describes a noun’s referent.","The ___ was clearly visible from here.","3","Intermediate","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Claude","","Claude"
"adjudicate","To settle a legal case or other dispute.","The word ___ is important to understand.","4","Advanced",", from  + . .","","","/əˈdʒudɪˌkeɪt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
